"Block","Order","Block.1","Position","ML","Leaf.Number","Comment","Trt","Comp","Combos","Population","Species"
"1",86,1,"86","PA4.18Ip",13,"","Alone","NA","NA","PA4","Ip"
"1",87,1,"87","PA4.18Ip",9,"","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip"
"1",87,1,"87","PA4.12Ihed",7,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",88,1,"88","PA4.16Ip",15,"","Inter","PA 4.7 Ihed","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ip"
"1",88,1,"88","PA4.7Ihed",17,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",89,1,"89A","PA4.14Ip",12,"","Inter","PA 4.15 Ihed","PA 4.14 Ip-PA 4.15 Ihed","PA4","Ip"
"1",89,1,"89A","PA4.15Ihed",11,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",90,1,"90","PA4.2Ip",10,"","Inter","PA 4.12 Ihed","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ip"
"1",90,1,"90","PA4.12Ihed",10,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",93,1,"93","PA4.14Ip",5,"","Inter","PA 4.12 Ihed","PA 4.14 Ip-PA 4.12 Ihed","PA4","Ip"
"1",93,1,"93","PA4.12Ihed",9,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",93,1,"93A","PA4.11Ip",6,"","Inter","PA 4.15 Ihed","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ip"
"1",93,1,"93A","PA4.15Ihed",7,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",94,1,"94","PA4.18Ip",5,"","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip"
"1",94,1,"94","PA4.12Ihed",7,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",95,1,"95A","PA4.17Ip",7,"","Inter","PA 4.15 Ihed","PA 4.17 Ip-PA 4.15 Ihed","PA4","Ip"
"1",95,1,"95A","PA4.15Ihed",10,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",96,1,"96","PA4.16Ip",8,"","Inter","PA 4.7 Ihed","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ip"
"1",96,1,"96","PA4.7Ihed",11,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",97,1,"97","PA4.1Ip",7,"","Alone","NA","NA","PA4","Ip"
"1",97,1,"97A","PA4.1Ip",5,"","Inter","PA 4.15 Ihed","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ip"
"1",97,1,"97A","PA4.15Ihed",5,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",98,1,"98","PA4.17Ip",5,"","Inter","PA 4.3 Ihed","PA 4.17 Ip-PA 4.3 Ihed","PA4","Ip"
"1",98,1,"98","PA4.3Ihed",6,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",99,1,"99","PA4.11Ip",11,"","Alone","NA","NA","PA4","Ip"
"1",99,1,"99A","PA4.1Ip",10,"","Inter","PA 4.15 Ihed","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ip"
"1",99,1,"99A","PA4.15Ihed",7,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",102,1,"102","PA4.2Ip",6,"","Alone","NA","NA","PA4","Ip"
"1",103,1,"103","PA4.18Ip",6,"","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip"
"1",103,1,"103","PA4.12Ihed",7,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",103,1,"103A","PA4.16Ip",14,"","Inter","PA 4.2 Ihed","PA 4.16 Ip-PA 4.2 Ihed","PA4","Ip"
"1",103,1,"103A","PA4.2Ihed",8,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",104,1,"104","PA4.14Ip",12,"","Inter","PA 4.3 Ihed","PA 4.14 Ip-PA 4.3 Ihed","PA4","Ip"
"1",104,1,"104","PA4.3Ihed",5,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",106,1,"106","PA4.13Ip",7,"","Inter","PA 4.3 Ihed","PA 4.13 Ip-PA 4.3 Ihed","PA4","Ip"
"1",106,1,"106","PA4.3Ihed",9,"","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",107,1,"107","PA4.18Ip",8,"","Inter","PA 4.9 Ihed","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ip"
"1",107,1,"107","PA4.9Ihed",9,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",108,1,"108","PA4.15Ip",9,"","Inter","PA 4.3 Ihed","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ip"
"1",108,1,"108","PA4.3Ihed",7,"","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",109,1,"109","PA4.15Ip",8,"","Inter","PA 4.9 Ihed","PA 4.15 Ip-PA 4.9 Ihed","PA4","Ip"
"1",109,1,"109","PA4.9Ihed",7,"","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",109,1,"109A","PA4.11Ip",4,"","Inter","PA 4.2 Ihed","PA 4.11 Ip-PA 4.2 Ihed","PA4","Ip"
"1",109,1,"109A","PA4.2Ihed",5,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",110,1,"110","PA4.11Ip",7,"","Inter","PA 4.12 Ihed","PA 4.11 Ip-PA 4.12 Ihed","PA4","Ip"
"1",110,1,"110","PA4.12Ihed",6,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",111,1,"111A","PA4.16Ip",4,"","Inter","PA 4.2 Ihed","PA 4.16 Ip-PA 4.2 Ihed","PA4","Ip"
"1",111,1,"111A","PA4.2Ihed",6,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",113,1,"113A","PA4.18Ip",8,"","Inter","PA 4.2 Ihed","PA 4.18 Ip-PA 4.2 Ihed","PA4","Ip"
"1",113,1,"113A","PA4.2Ihed",7,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",114,1,"114","PA4.15Ip",5,"","Alone","NA","NA","PA4","Ip"
"1",115,1,"115","PA4.13Ip",4,"","Alone","NA","NA","PA4","Ip"
"1",115,1,"115A","PA4.19Ip",5,"","Inter","PA 4.15 Ihed","PA 4.19 Ip-PA 4.15 Ihed","PA4","Ip"
"1",115,1,"115A","PA4.15Ihed",6,"","Inter","PA 4.19 Ip","PA 4.19 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",116,1,"116","PA4.17Ip",5,"","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ip"
"1",116,1,"116","PA4.9Ihed",7,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",117,1,"117","PA4.19Ip",7,"","Alone","NA","NA","PA4","Ip"
"1",117,1,"117A","PA4.18Ip",5,"","Inter","PA 4.15 Ihed","PA 4.18 Ip-PA 4.15 Ihed","PA4","Ip"
